sample_id,bodysite,gut_pharynx ,gut_mouth,pharynx_mouth
SRR5399166,gut,gut,gut,
SRR5399165,gut,gut,gut,
SRR5399163,gut,gut,gut,
SRR5399159,gut,gut,gut,
SRR5399158,gut,gut,gut,
SRR5399156,gut,gut,gut,
SRR5399155,gut,gut,gut,
SRR5399154,gut,gut,gut,
SRR5399153,gut,gut,gut,
SRR5399149,gut,gut,gut,
SRR5399148,gut,gut,gut,
SRR5399146,gut,gut,gut,
SRR5399145,gut,gut,gut,
SRR5399144,gut,gut,gut,
SRR5399143,gut,gut,gut,
SRR5399142,gut,gut,gut,
SRR5399139,gut,gut,gut,
SRR5399136,gut,gut,gut,
SRR5399135,gut,gut,gut,
SRR5399133,gut,gut,gut,
SRR5399131,gut,gut,gut,
SRR5399130,gut,gut,gut,
SRR5399129,gut,gut,gut,
SRR5399127,gut,gut,gut,
SRR5399126,gut,gut,gut,
SRR5399125,gut,gut,gut,
SRR5399124,gut,gut,gut,
SRR5399123,gut,gut,gut,
SRR5399120,gut,gut,gut,
SRR5399119,gut,gut,gut,
SRR5399118,gut,gut,gut,
SRR5399115,gut,gut,gut,
SRR5399113,gut,gut,gut,
SRR5399112,gut,gut,gut,
SRR5399111,gut,gut,gut,
SRR5399109,gut,gut,gut,
SRR5399108,gut,gut,gut,
SRR5399107,gut,gut,gut,
SRR8371894,gut,gut,gut,
SRR8371895,gut,gut,gut,
SRR8371896,gut,gut,gut,
SRR8371897,gut,gut,gut,
SRR8371898,gut,gut,gut,
SRR8371899,gut,gut,gut,
SRR8371900,gut,gut,gut,
SRR8371901,gut,gut,gut,
SRR8371902,gut,gut,gut,
SRR8371903,gut,gut,gut,
SRR8371904,gut,gut,gut,
SRR8371905,gut,gut,gut,
SRR8371906,gut,gut,gut,
SRR8371907,gut,gut,gut,
SRR8371909,gut,gut,gut,
SRR8371910,gut,gut,gut,
SRR8371911,gut,gut,gut,
SRR8371912,gut,gut,gut,
SRR8371923,gut,gut,gut,
SRR8371924,gut,gut,gut,
SRR8371925,gut,gut,gut,
SRR8371926,gut,gut,gut,
SRR8371927,gut,gut,gut,
SRR8371928,gut,gut,gut,
SRR8371929,gut,gut,gut,
SRR8371930,gut,gut,gut,
SRR8371931,gut,gut,gut,
SRR8371932,gut,gut,gut,
SRR8371944,gut,gut,gut,
SRR8371947,gut,gut,gut,
SRR8371948,gut,gut,gut,
SRR8371950,gut,gut,gut,
SRR8371951,gut,gut,gut,
SRR8371952,gut,gut,gut,
SRR8371953,gut,gut,gut,
SRR8371954,gut,gut,gut,
SRR8371955,gut,gut,gut,
SRR8371956,gut,gut,gut,
SRR8371957,gut,gut,gut,
SRR8371958,gut,gut,gut,
SRR8371959,gut,gut,gut,
SRR8371960,gut,gut,gut,
SRR8371961,gut,gut,gut,
SRR8371962,gut,gut,gut,
SRR8371963,gut,gut,gut,
SRR8371964,gut,gut,gut,
SRR8371965,gut,gut,gut,
